=== Sheet: Live Sheet for Business Activit ===
Reference Number | Activity ID | Segment | Activity Master: Activity Master Name | Segment (Arabic) | Type | External Approval Required? | Approving Authority | Type of Approval | Description | Description (Arabic) | Status
22.81 | 4759008 | Retails | Retail Sale of Refrigeration and Air Conditioning Units | محلات بيع تجزئة | Retail | False |  |  | Include the re-sale in specialized shops, retail outlets and air-conditioning units to be installed in a window, as well as air conditioning units with separate components (split) being installed as units, whether or not associated with centrally air-cond | هي إعادة البيع في المتاجر المتخصصة بالتجزئة وحدات وأجهزة تكييف الهواء التي تركب بطريقة النافذة, وكذلك وحدات التكييف ذات المكونات المنفصلة ( split ) التي يجري تركيبها كوحدات سواء أكانت مرتبطة أو غير مرتبطة بنظام تكييف مركزي شامل, كما يشمل أجهزة تكييف الساح | Active
22.80 | 4759005 | Retails | Retail Sale of Silverware and Tableware | محلات بيع تجزئة | Retail | False |  |  | Include the resale shops retail specialized tools for the table like spoons, knives and other tools from the trays and dishes candlesticks, whether made of Silver or gold plated silver or were made of stainless steel to consumers directly. | هي إعادة البيع في المتاجر المتخصصة بالتجزئة  لأدوات المائدة كالملاعق والسكاكين وغيرها من الأدوات كالصواني والأطباق والشمعدانات سواء أكانت مصنوعة من الفضة أو مطلية بالذهب والفضة أم كانت مصنوعة  من الصلب المقاوم للصدأ الي المستهلكين مباشرة. | Active
22.62 | 4722001 | Retails | Retail Sale of Beverages and Carbonated Drinks | محلات بيع تجزئة | Retail | False |  |  | Include Shops, commercial centers in the commercial markets to sell soft drinks of all kinds. | تشمل المحلات أو المراكز التجارية في المولات التجارية التي تقوم باعادة بيع المشروبات الغازية بجميع أنواعها . | Active
22.61 | 4721039 | Retails | Retail Sale of Nuts | محلات بيع تجزئة | Retail | False |  |  | Resale in stores specialized in retail sales of all types of nuts, such as pistachios, almonds, peanuts,  whether in their original condition or after peeling and processing | هي إعادة  البيع في المتاجر المتخصصة بالتجزئة لجميع أنواع المكسرات كالفستق واللوز والفول السوداني سواء أكانت بحالتها الأصلية بعد تقشيرها وتجهيزها . | Active
22.101 | 4773507 | Retails | Retail Sale of Air Purification and Filtration Devices | محلات بيع تجزئة | Retail | False |  |  | Is the re-sale in specialized stores retail for devices used in residential buildings and houses in order to purify the air of fumes, gases, dust or filtered water or other liquids and purification from impurities and salts and filters (filters) | هي إعادة البيع في المتاجر المتخصصة بالتجزئة لأجهزة المستخدمة في الأبنية السكنية والمنازل  بغرض تنقية الهواء من الأدخنة والغازات والغبار أو في تصفية   المياه أو غيرها من السوائل وتنقيتها من الشوائب والأملاح كالمراشح والمصفيات (الفلاتر) وغيرها ولوازمها وقطع | Active
30.8 | 7210117 | Research and Development | Research And Development in The Field Of Multi-Dimensional Printing | البحث والتطوير | General | False |  |  | Activities focused on research and development in the field of multi-dimensional printing | ركزت الأنشطة على البحث والتطوير في مجال الطباعة متعددة الأبعاد | Active
31.3 | 6190005 | Satellite | Management and Operation of Satellites, and Provision of Satellite Services | الأقمار الاصطناعية | General | False |  |  | It includes the management and operation of satellites, receiving and transmitting earth stations, in addition to providing space services such as telecommunications, satellite imagery and navigation services, and management of space data that includes re | يشمل إدارة وتشغيل الاقمار الصناعية ومحطات الاستقبال والارسال الأرضية، بالاضافة الى تقديم الخدمات الفضائية كخدمات الاتصالات والتصوير الفضائي والملاحة، وإدارة البيانات الفضائية التي تشمل استقبال أو تخزين أو معالجة أوتوزيع أو أرشفة أوالتخلص من أيّ بيانات فضا | Active
4.1.12 | 8549023 | Training and Development | Training in Hospitality and Tourism | التطوير والتدريب | General | False |  |  | It entails the training of staff working in travel agencies on flight booking and booking other means of travel – such as, vehicles, trains and ships – travel card issuance, how to deal with representatives of airlines, other travel agencies, tourism comp | يشمل خدمات تدريب العناصر البشرية العاملة في   شركات السفريات علي عمل حجوزات الطيران أو وسائل  السفر الأخرى كالسيارات والقطارات والبواخر وإصدار  بطاقات السفر, بالإضافة إلى كيفية التعامل مع ممثلي   شركات الطيران ووكالات السفر الأخرى والسياحة والتأجير  كما ي | Active
5.1.71 | 3313006 | Service Provider | Repair and Maintenance of Surveying Instruments and Equipment | مزود الخدمات | Special | False |  |  | Includes facilities that perform all repairs and maintenance of equipment and space and using a variety of techniques and a team of technicians who specialize in repairing equipment and measurement space | يشمل المنشآت التى تقوم بجميع عمليات الاصلاح  والصيانة لمعدات واجهزة المساحه وذلك بأستخدام تقنيات متنوعه  وفريق من الفنيين المتخصصين في أصلاح معدات القياس والمساحة. | Active
5.1.69 | 3312003 | Service Provider | Repair and Maintenance of Pumps and Valves | مزود الخدمات | Special | False |  |  | The workshops and workshops specializing in repair and maintenance operations of valves and pumps, using various technologies and protecting them from corrosion or interaction with surrounding natural materials or to extend the life span of their use. Thi | المشاغل والورش المتخصصة في عمليات الاصلاح والصيانة للصمامات والمضخات، وذلك باستخدام تقنيات متنوعه وحمايتها من التأكل أو التفاعل مع المواد الطبيعية المحيطة أو لإطالة العمر الزمني لاستخدامها ولا يشمل هذا النشاط بيع قطع غيار المضخات والصمامات. | Active
5.1.72 | 3811006 | Service Provider | Marine and Coastal Cleaning Operations | مزود الخدمات | Special | False |  |  | -Includes facilities that operate in the field of marine waste and materials contaminated by beaches and the sea, lakes and natural and man-made, the removal and disposal of waste and materials or addressed. | يشمل المنشآت التي تعمل في مجال تجميع النفايات   البحرية والمواد الملوثة للشواطىء ومياه البحار   والبحيرات الطبيعية والإصطناعية وإزالة تلك   النفايات والمواد والتخلص منها أو معالجتها. | Active
5.1.70 | 3312010 | Service Provider | Repair and Maintenance of Material Handling Equipment | مزود الخدمات | Special | False |  |  | -Includes facilities that perform all repairs and Chianalmaadat handling materials and using a variety of techniques and protection from corrosion or interaction with the surrounding natural materials or to prolong the life span for use or maintenance | يشمل المنشآت التى تقوم بجميع عمليات الاصلاح  والصيانةلمعدات المناوله المواد وذلك بأستخدام تقنيات متنوعه وحمايتها من التأكل او التفاعل مع المواد الطبيعية المحيطة او لاطالة العمر الزمني لاستخدامها او صيانتها | Active
5.1.73 | 4923008 | Service Provider | Hazardous Materials Transport | مزود الخدمات | Special | False |  |  | It includes establishments that transport by light and heavy trucks hazardous materials that are flammable or explosive, such as explosives, gas cylinders, and other dangerous materials, such as radioactive materials, toxic waste, and other materials that | يشمل المنشآت التي تقوم بنقل بالشاحنات  الخفيفة والثقيلة للمواد  الخطرة القابلة للإشتعال أو الإنفجار مثل المتفجرات وأسطوانات الغاز والمواد الخطرة  الأخري  مثل المواد الأشعاعية والنفايات السامة  والمواد الأخري التي من شأنها خطرا علي البيئة والمجتمع. | Active
5.1.74 | 5221007 | Service Provider | Boat Transportation and Towing | مزود الخدمات | Special | False |  |  | Includes firms engaged in transporting power boats, sail boats and yachts for different purposes. | يشمل نقل أو قطر جميع أنواع القوارب واليخوت لمختلف الأغراض. | Active
13.8 | 4763007 | Trading | Retail Sale of Boat and Yacht Spare Parts and Components | الشركة التجارية | General | False |  |  | Include the resale in specialized shops or shops that sell all kinds of new spare parts for ships and boats | يشمل إعادة البيع فى المتاجر المتخصصة أو المحلات التجارية التى تبيع جميع انواع قطع الغيار الجديدة للسفن والقوارب | Active
22.100 | 4773406 | Retails | Retail Sale of Handcrafted and Heritage Environmental Items | محلات بيع تجزئة | Retail | False |  |  | Include shops or specialized centers in the re-sale of handicrafts that environmental heritage exercised on an individual level, such as drawing, sculpture, photography and crafts also drawing on the glass or wood and the formation of Pottery, metal and o | هي المحلات أو المراكز المتخصصة في اعادة بيع الاعمال اليدوية كالرسم والنحت والتصوير والحرف التراثيه كذلك الرسم على الزجاج أو الخشب وتشكيل الفخار والمعادن وغيرها . | Active
30.4 | 7210113 | Research and Development | Equipment and Device Security Research and Development | البحث والتطوير | General | False |  |  | Activities focused on research and development in topics related to all types of equipment and devices that are used in security and surveillance, such as surveillance cameras, early warning systems for theft, intrusion detection, exchange of voice dialin | تركز الأنشطة على البحث والتطوير في الموضوعات المتعلقة بجميع أنواع المعدات والأجهزة المستخدمة في الأمن والمراقبة ، مثل كاميرات المراقبة وأنظمة الإنذار المبكر للسرقة واكتشاف التسلل وتبادل أنظمة الاتصال الصوتي والبصري وأنظمة الإنذار الأمني ، أنظمة التحكم ، و | Active
30.3 | 7210112 | Research and Development | Research And Development in The Field Of Smart Systems | البحث والتطوير | General | False |  |  | Activities focused on research and development in topics related to smart systems including functions of sensing, actuating, and controlling in order to make smart decisions, analyses or/and descriptions. | تركز الأنشطة على البحث والتطوير في الموضوعات المتعلقة بالأنظمة الذكية بما في ذلك وظائف الاستشعار والتشغيل والتحكم من أجل اتخاذ قرارات ذكية أو تحليلات و / أو أوصاف. | Active
13.19 | 4659104 | Trading | Wholesale Trading of Power Equipments | الشركة التجارية | General | False |  |  | It includes establishments that wholesale trade in equipment and devices such as turbines, generators, or reactors that are used in electrical power generation plants, as well as transmission equipment such as power and feeding stations, and distribution  | تشمل المنشأت التي تقوم بالأتجار بالجملة في  المعدات والأجهزة من التوربينات والمولدات   أو المفاعلات التي تستخدم في محطات  توليد الطاقة الكهربائية   وكذلك معدات نقلها كمحطات التقوية والتغذية ومعدات توزيعها   كمجموعات المفاتيح الكهربائية ومقومات التيار وأجه | Active
31.5 | 6110004 | Satellite | Wired and Satellite TV Channel Installation and Management | الأقمار الاصطناعية | General | False |  |  | -It includes specialized establishments in the creation of TV channels by cable television or satellite channels via satellite or any other similar means to her, including the management of these channels and sold or leased or operated commercial, educati | يشمل المنشأت المتخصصة فى إنشاء قنوات البث التلفزيوني بواسطة الكابلات التلفزيونية أو القنوات الفضائية عبر الأقمار الصناعية أو أية وسائل أخرى مشابهة لها، ويشمل ذلك إدارة هذه القنوات وتأجيرها أو بيعها أو تشغيلها للأغراض التجارية والتعليمية أو الترفيهية أو ال | Active
5.1.77 | 5224006 | Service Provider | Loading and Unloading Cargo Container Services | مزود الخدمات | Special | False |  |  | Includes firms which operate in the ports, airports and customs stations the loading and unloading containers for domestic and international shipments, involving proper inventory control for incoming and outgoing shipments and proper stacking and packing  | يشمل المنشآت التي تعمل أساسا في تقديم خدمات تحميل أحوية الشحن أو تفريغها بما لديها من معدات أو الات علي المركبات أو السفن أو الطائرات تمهيدا لشحنها أو تفريغ السفن والمركبات والطائرات . | Active
1.9.11 | 7110208 | Green Building | Energy Efficiency Services in Buildings | بنايات صديقة للبيئة | General | False |  |  | Includes providing consultancies and designs aiming at reducing energy use in buildings through optimal utilization of the resources and developing solutions to minimize electricity and water consumption, the services target the cooling and ventilation sy | يشمل تقديم الإستشارات وإعداد التصاميم الهادفة لتعزيز كفاءة إستخدام وترشيد إستهلاك الطاقة في المباني من خلال الإستغلال الأمثل للموارد وإيجاد الحلول المناسبة للتقليل من هدر الطاقة الكهربائية والمياه والموارد الأخرى، والأنظمة المستهدفة بهذه الخدمات تشمل أنظم | Active
5.1.105 | 7490015 | Service Provider | Agricultural Advisory Services | مزود الخدمات | Special | False |  |  | Includes firms which provide extension services to the public in terms of planting dates, fertilization, pest control methods, care and maintenance of agricultural roduction procedures and other extension services. | يشمل  المنشآت التي يتضمن نشاطها تقديم الخدمات الإرشادية للجمهور من حيث مواعيد الزراعة، التسميد،  مكافحة الآفات الزراعية، طرق الرعاية والصيانة الزراعية، طرق الإنتاج  وغيرها | Active
5.1.108 | 7729007 | Service Provider | Baby Carriage Rental | مزود الخدمات | Special | False |  |  | Includes firms providing special kinds of manual and automatic playing carts to children under six. Such carts are available for rental by the parents who accompany their children in shopping centres, parks or public utilities. | يشمل هذا النشاط المنشآت التي تقوم بتوفير عربات خاصة يتم التحكم بها يدويا أو آليا   للأطفال الذين تقل أعمارهم عن ست سنوات, وذلك في مراكز التسوق أو الحدائق والمرافق العامة, بحيث يتم تأجيرها على المتسوقين والزوار الذين يصطحبون أطفالهم أثناء   ارتيادهم تلك ال | Active
22.67 | 4741011 | Retails | Retail Sale of Mobile Phones | محلات بيع تجزئة | Retail | False |  |  | It includes reselling in centers and shops all types of mobile phones and their supplies, including phone accessories and spare parts. This activity does not include repair of mobile phones. | تشمل أعادة بيع في المراكز والمحلات التجارية  لجميع أنواع الهواتف المتحركة ولوازمها من أكسسوارات الهواتف  وقطع غيارها ولايشمل هذا النشاط إصلاح الهواتف المتحركة. | Active
13.16 | 4773963 | Trading | Trade of Paper Products | الشركة التجارية | General | False |  |  |  |  | Active
31.2 | 6190004 | Satellite | Management and Operation of Satellite Reception Stations | الأقمار الاصطناعية | General | False |  |  | Includes facilities that manage and operate the stations and facilities of their laboratories and training centers for education, research and other Systems integration activities and the development of technologies and provision of services relati | يشمل المنشات التي تقوم بإدارة وتشغيل المحطات والمرافق التابعة لها من مختبرات مراكز تدريب وتعليم وبحوث وغير ذلك من أنشطة دمج الأنظمة وتطوير التقنيات وتقديم الخدمات المتعلقة بتلك الممارسات مع أمكانية توريد المعدات و المواد اللازمة لتشغيل تلك المحطات  ولا يح | Active
30.5 | 7210114 | Research and Development | Research and development in jamming equipment and its related systems | البحث والتطوير | General | False |  |  | Activities focused on research and development in jamming equipment that interferes with wireless communications (such as, cordless telephones and GSM repeater) as well as encryption solutions that protect sensitive data across enterprise applications dat | تركز الأنشطة على البحث والتطوير في معدات التشويش التي تتداخل مع الاتصالات اللاسلكية (مثل الهواتف اللاسلكية ومكرر GSM) بالإضافة إلى حلول التشفير التي تحمي البيانات الحساسة عبر تكنولوجيا معلومات تطبيقات المؤسسات والمعاملات المهمة والتخزين ومنصات البيانات ال | Active
30.6 | 7210115 | Research and Development | Research And Development in Measurement And Control Equipment And Devices | البحث والتطوير | General | False |  |  | The activities related to the research and development of equipment and devices used in the measurement, whether to measure areas or quantities such as accurate scales or to measure the distances and height or to monitor the dimensions and variables of th | الانشطة المتعلقة في البحث والتطوير في المعدات والأجهزة المستخدمة في القياس سواء أكانت لقياس المساحات أو الكميات كالموازين الدقيقة أو لقياس المسافات والارتفاع أو لرصد الأبعاد والمتغيرات البيئية والجغرافية، كما يشمل الأجهزة المستخدمة في التحكم في كميات المو | Active
30.9 | 7210119 | Research and Development | Research and Development in Mixed Reality and Digital Simulation | البحث والتطوير | General | False |  |  | Activities related to research and development in the field of mixed reality and digital simulation | الانشطة المتعلقة في البحث والتطوير في الواقع المختلط والمحاكاة الرقمية | Active
31.4 | 4321010 | Satellite | Television and Satellite Reception Equipment Installation and Maintenance | الأقمار الاصطناعية | General | False |  |  | -Includes facilities that the activity on the implementation of the actions necessary to install the equipment and devices used in the 24 radio and television transmissions directed through satellites (satellite stations) as well as the implementation of  | يشمل المنشآت التي يقوم نشاطها على تنفيذ الأعمال  اللازمة لتركيب المعدات والأجهزة المستخدمة في   إستقبال الإرسال الإذاعي والتلفزيوني الموجه عبر   الأقمار الصناعية ( محطات الاقمار الصناعية ) وكذلك تنفيذ أعمال التمديدات   وإجراء الإختبارات الضرورية لتشغيلها, | Active
30.2 | 7210111 | Research and Development | Research And Development to In The Field Of Cloud Computing | البحث والتطوير | General | False |  |  | Activities related to the research and development in the field of Cloud services and cloud computing | يشمل المنشآت المتخصصة فى البحث والتطوير فى الحوسبة السحابية مثل البحث والتطوير خدمات البنية الأساسية أو ما يُعرف (بالإنجليزية: infrastructure as a service) واختصار هذه الخدمة هو (IaaS) وتُقدم خدمات التخزين نوع آخر من الخدمات السحابية وهو software as a ser | Active
30.12 | 7220007 | Research and Development | Educational Technologies Research & Development | البحث والتطوير | General | False |  |  | Includes centers or institutes specialized in elaborating studies and experimental and development researches on learning technologies to set guidelines to enhance designing, evaluating and implementing learning techniques to reach the utmost efficiency,  | يشمل المراكز أو المعاهد المتخصصة في مجال   إعداد الدراسات والبحوث التجريبية والتطويرية في مجال تقنيات التعليم المختلفة ليستهدى بها في تصميم وتقويم وتنفيذ عملية التعليم والتعلم والوصول بها لأعلى درجات الفعالية، لا يسمح لهذه المنشآت إجراء المسوحات الميدانية | Active
2.3.11 | 6201003 | IT Services | Electronic Equipment And Devices Systems And Software Designing | خدمات الحاسوب | General | False |  |  | Includes enteprises specialized in the design of systems and software for electronic equipment and devices where these enteprises design the operation systems of such electronic equipment and devices. | تشمل المنشآت المتخصصة في تصميم نظم وبرامج المعدات والاجهزة الالكترونية حيث تتولى تلك المنشآت تصميم نظم عمل تلك المعدات والاجهزة الالكترونية . | Active
2.3.12 | 6202004 | IT Services | Management and Operation Services for Computer Networks | خدمات الحاسوب | General | False |  |  | -Activity Includes electronic installations specialized in contracting with companies that want to assign manage and run their own networks in terms of providing a secure connection between employees, customers and property info to help ensure safe access | يشمل المنشآت الالكترونية المتخصصة فى التعاقد مع الشركات التى ترغب فى اسناد إدارة و تشغيل الشبكات الخاصة بها من حيث توفير اتصال آمن بين الموظفين والعملاء ومعلومات المنشآه المساعدة على ضمان الوصول الآمن الى المعلومات والموارد من اى موقع إدارة الشبكة بآمان و | Active
